NAME                                    READY   STATUS    RESTARTS      AGE
admin-service-6b4c4896f-54xwg           0/1     Running   0             69s
api-gateway-7f886fff4d-7zqz5            1/1     Running   0             34m
config-server-5bdb8bc975-f8gpv          1/1     Running   0             38m
eureka-server-7796b59454-x8pmt          1/1     Running   0             38m
frontend-686b7dbfb9-79fd2               1/1     Running   0             80m
kyc-service-7779dc9749-lzg78            0/1     Running   0             69s
notification-service-79fc5cd765-ssdfg   0/1     Running   0             70s
payment-service-5b688ffc75-lxk95        0/1     Running   0             71s
rabbitmq-67cfd4f989-kb8dv               1/1     Running   0             12h
rewards-service-7d46494c69-tzr86        0/1     Running   1 (24s ago)   71s
transaction-service-fd77fcd6-gcsr9      0/1     Running   1 (12s ago)   71s
user-service-c58b6fd9-5ttdm             0/1     Running   1 (33s ago)   71s
wallet-service-68ff985b65-fqg7l         0/1     Running   0             69s
